#roi_key,roi_name,roi_latitudes,roi_longitudes_east
JUICE_ROI_GAN_4_3_01,Melkart,[-15. -15.  -4.  -4.],[168. 179. 179. 168.]
JUICE_ROI_GAN_4_3_02,Enkidu,[-32. -32. -22. -22.],[30. 40. 40. 30.]
JUICE_ROI_GAN_4_3_03,Hapi,[-34. -34. -27. -27.],[143. 151. 151. 143.]
JUICE_ROI_GAN_4_3_04,Irkala,[-34. -34. -24. -24.],[239. 250. 250. 239.]
JUICE_ROI_GAN_4_3_05,Seker,[-46. -46. -34. -34.],[ 7. 20. 20.  7.]
JUICE_ROI_GAN_4_3_06,Atra-Hasis,[14. 14. 29. 29.],[ 98. 114. 114.  98.]
JUICE_ROI_GAN_4_3_07,Serapis,[-16. -16.  -7.  -7.],[311. 322. 322. 311.]
JUICE_ROI_GAN_4_3_08,Damkina,[-37. -37. -24. -24.],[348.   2.   2. 348.]
JUICE_ROI_GAN_4_4_01,Dendera,[-7. -7.  5.  5.],[ 98. 111. 111.  98.]
JUICE_ROI_GAN_4_4_02,Menhit,[-41. -41. -31. -31.],[214. 223. 223. 214.]
JUICE_ROI_GAN_4_4_03,Mor,[28. 28. 33. 33.],[30. 35. 35. 30.]
JUICE_ROI_GAN_4_4_04,None,[0. 0. 9. 9.],[195. 205. 205. 195.]
JUICE_ROI_GAN_4_4_05,None,[-7. -7.  2.  2.],[223. 233. 233. 223.]
JUICE_ROI_GAN_4_4_06,None,[-22. -22. -15. -15.],[302. 314. 314. 302.]
JUICE_ROI_GAN_4_4_07,None,[-30. -30. -24. -24.],[310. 317. 317. 310.]
JUICE_ROI_GAN_4_5_01,Abydos Facula,[29. 29. 39. 39.],[202. 211. 211. 202.]
JUICE_ROI_GAN_4_5_02,Memphis Facula,[ 8.  8. 20. 20.],[222. 234. 234. 222.]
JUICE_ROI_GAN_4_5_03,Epigeus,[17. 17. 28. 28.],[174. 185. 185. 174.]
